Title,Price,Calification
Notebook Ryzen 5 Lenovo Ideapad 3 Amd 256gb Ssd 8gb Ram,549999, 
Notebook Gateway 14.1 Core I5 11va Gen 16gb 512gb Blue,581391,4.0
Notebook Exo Xq3j-s3182 Intel I3-12va 8gb Ssd 256 Gb Fhd W11,768999,4.4
"Laptop HP Pavilion x360 14-dy0508la plateada natural 14"", Intel Core i3 1125G4  8GB de RAM 256GB SSD, Intel UHD Graphics Xe G4 48EUs 1366x768px Windows 11 Home",699999,4.6
"Laptop Asus X515EA slate gray 15.6"", Intel Core i7 1165G7  8GB de RAM 512GB SSD, Intel Iris Xe Graphics G7 96EUs 1920x1080px FreeDOS",744443,4.6
"Notebook Cx Cx23800w Silver 14 Full Hd , Intel Pentium N4200 4gb De Ram 64gb Ssd, Intel Graphics Hd 505 1920px X 1080 Px Windows 10 Home",217392,4.2
Notebook Gigabyte I7 11800h 16gb 512gb Rtx 3060 15.6'' Fhd,1807999, 
Notebook Lenovo I5 1135g7 8gb Ram 512gb Ssd 14'' Windows 11,418999,
"Laptop Dell Inspiron 16 5620 plata 16"", Intel Core i5 1235U  8GB de RAM 512GB SSD, Intel Iris Xe Graphics G7 80EUs 60 Hz 1920x1200px Windows 11 Home",799999,4.6
Notebook Lenovo Ip1 Cel 14igl05 14'' 81vu00juar 4gb 128gb Ss,373199,5.0
